 basic :--,Audi
9,"https://www.automobile.fr//Voiture/Opel-Corsa-1.7-DI-16V/vhc:car,ms1:19000__,dmg:false/pg:vipcar/309687563.html"
,Skoda
0,"https://www.automobile.fr//Voiture/Skoda-Rapid-Spaceback-Ambition-1,0TSI-110-PS/vhc:car,ms1:22900__,dmg:false/pg:vipcar/280901222.html"
1,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-115-PS-Style-6-Gang/vhc:car,ms1:22900__,dmg:false/pg:vipcar/286422072.html"
2,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-Style-R%C3%BCckfahrkamera/vhc:car,ms1:22900__,dmg:false/pg:vipcar/293973525.html"
3,"https://www.automobile.fr//Voiture/Skoda-Kamiq-1.0-TSI-85kW-Style-R%C3%BCckfahrkamera/vhc:car,ms1:22900__,dmg:false/pg:vipcar/293976604.html"
4,"https://www.automobile.fr//Voiture/Skoda-OCTAVIA-COMBI-DRIVE-2.0-TDI-DSG-NAVI/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687715.html"
5,"https://www.automobile.fr//Voiture/Skoda-Octavia-Combi-Soleil-2.0-TDI-DSG-LED/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687691.html"
6,"https://www.automobile.fr//Voiture/Skoda-Octavia-Combi-Ambition-Navi-SHZ-Temp./vhc:car,ms1:22900__,dmg:false/pg:vipcar/309246663.html"
7,"https://www.automobile.fr//Voiture/Skoda-Octavia-Combi-Ambition-Navi-PDC-SHZ/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309181992.html"
8,"https://www.automobile.fr//Voiture/Skoda-Yeti-1.2-TSI-Ambition-PLUS-EDITION/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687658.html"
9,"https://www.automobile.fr//Voiture/Skoda-Skoda-Fabia-1.2-TSI-Benziner-Kombi-T%C3%9CV/vhc:car,ms1:22900__,dmg:false/pg:vipcar/309687652.html"
,Volkswagen
0,"https://www.automobile.fr//Voiture/Volkswagen-T5-STANDHZG-1.HAND-GARANTIE-INSP./vhc:car,ms1:25200__,dmg:false/pg:vipcar/299263445.html"
1,"https://www.automobile.fr//Voiture/Volkswagen-T5-AUFSTELLDACH-LANGER-RADSTAND/vhc:car,ms1:25200__,dmg:false/pg:vipcar/284314016.html"
2,"https://www.automobile.fr//Voiture/Volkswagen-T5-2,0TDI-KURZ-ODER-LANGVERSION/vhc:car,ms1:25200__,dmg:false/pg:vipcar/284676481.html"
3,"https://www.automobile.fr//Voiture/Volkswagen-Touran-1.9-TDI-Goal-Climatronic/vhc:car,ms1:25200__,dmg:false/pg:vipcar/309053498.html"
4,"https://www.automobile.fr//Voiture/Volkswagen-Touran-1.9-TDI-Goal-Climatronic/vhc:car,ms1:25200__,dmg:false/pg:vipcar/309053478.html"
5,"https://www.automobile.fr//Voiture/Volkswagen-Golf-VII-Variant-1,2-TSI-Trendl./vhc:car,ms1:25200__,dmg:false/pg:vipcar/309687726.html"
6,"https://www.automobile.fr//Voiture/Volkswagen-T6-CAMPER-AUFSTELLDACH-LANG-ODER/vhc:car,ms1:25200__,dmg:false/pg:vipcar/284528578.html"
7,"https://www.automobile.fr//Voiture/Volkswagen-Passat-35i-Nasenb%C3%A4r-T%C3%9CV2022/vhc:car,ms1:25200__,dmg:false/pg:vipcar/309687699.html"
8,"https://www.automobile.fr//Voiture/Volkswagen-Golf-Sportsvan-IQ.Drive-1.6-TDI/vhc:car,ms1:25200__,dmg:false/pg:vipcar/309687677.html"
 ,"https://www.automobile.fr//Voiture/Volkswagen-Golf-Sportsvan-IQ.Drive-1.5-TSI/vhc:car,ms1:25200__,dmg:false/pg:vipcar/309687674.html"
 start :--,Abarth
